LID_Type,Ratio,Total_Runoff,Peak_Runoff,Red_Total,Red_Peak
RAIN_GARDEN,0,40031.85954859179,2.3019635702219814,0.0,0.0
RAIN_GARDEN,1,39811.70754748349,2.265032411157764,0.5499419801897276,1.6043329069997392
RAIN_GARDEN,2,39591.567045305135,2.2283959285295603,1.0998552359333114,3.1958647236683624
RAIN_GARDEN,3,39371.43636873302,2.1920542332560466,1.64974394721068,4.774590631568332
RAIN_GARDEN,4,39151.32264345826,2.1560081339516795,2.199590313971578,6.340475503538368
RAIN_GARDEN,5,38931.224272151725,2.120257682628879,2.7493983263607413,7.8935170800978565
RAIN_GARDEN,6,38711.14296781935,2.084803147444131,3.2991637052715905,9.433703712214236
RAIN_GARDEN,7,38491.08097281309,2.0496447695407243,3.8488808492856963,10.961024924339945
RAIN_GARDEN,8,38271.03794997639,2.0147825314947503,4.398550600623652,12.475481473390037
RAIN_GARDEN,9,38051.002383294755,1.9802170853361136,4.948201726408974,13.977045034419955
RAIN_GARDEN,10,37830.956420593815,1.9459483561495863,5.497878821558255,15.465718861835164
RAIN_GARDEN,11,37610.977004166074,1.9119764731696411,6.047389683427474,16.941497341538437
RAIN_GARDEN,12,37390.9868216596,1.878301534286429,6.59692743907293,18.4043762210667
RAIN_GARDEN,13,37171.21010872787,1.8449233818868909,7.14593194550851,19.85436234731628
RAIN_GARDEN,14,36951.493906265874,1.8169328316452307,7.694785296163631,21.070304710772582
RAIN_GARDEN,15,36731.82527826169,1.827274943887084,8.243519805330113,20.621031213327267
RAIN_GARDEN,16,36512.21118297387,1.8376113339260272,8.792118091206014,20.172006295094246
RAIN_GARDEN,17,36292.65558307767,1.8479429150426783,9.340570254987457,19.723190282091274
RAIN_GARDEN,18,36072.9045646333,1.8617022814114221,9.889510576327332,19.125467253511065
RAIN_GARDEN,19,35853.39788961902,1.8732680327924913,10.437840525246745,18.62303743530357
RAIN_GARDEN,20,35632.39286235895,1.8811158524217464,10.989913373603443,18.282118937253735
RAIN_GARDEN,21,35412.64293827431,1.8845860811012924,11.538850961221392,18.13136812935926
RAIN_GARDEN,22,35193.230630616046,1.8864954634710716,12.086945179507536,18.048422317597566
RAIN_GARDEN,23,34973.70075840382,1.8876499707581673,12.635333075267797,17.998269165652403
RAIN_GARDEN,24,34752.67533829809,1.8879478648927073,13.187456865164304,17.985328294719714
RAIN_GARDEN,25,34532.752340395105,1.8875717526543534,13.736826792974021,18.001667051910275
RAIN_GARDEN,26,34312.845679542675,1.8864444852563296,14.286155910662146,18.050636871094483
RAIN_GARDEN,27,34092.95107466387,1.8845655275169328,14.835454912403224,18.132261001193793
RAIN_GARDEN,28,33873.063748688786,1.881934998515565,15.384735731367371,18.246534269259207
RAIN_GARDEN,29,33653.14885297439,1.878549457349825,15.934085419826038,18.393606152130637
RAIN_GARDEN,30,33433.20563099671,1.8744085326927418,16.483505867583926,18.573492780687662
RAIN_GARDEN,31,33213.2091865099,1.8695095304235567,17.03305926572115,18.786311190698925
RAIN_GARDEN,32,32994.485552506274,1.863982801835068,17.579433170081337,19.02639876897263
RAIN_GARDEN,33,32777.42600050746,1.858395794945924,18.121650180348713,19.26910490739363
RAIN_GARDEN,34,32563.57977925593,1.8530518456462823,18.655840257109844,19.501252338776588
RAIN_GARDEN,35,32348.714957661978,1.846642464169061,19.192574808082043,19.779683394772974
RAIN_GARDEN,36,32128.63037975587,1.8381479582611762,19.742348364414,20.148694703977387
RAIN_GARDEN,37,31905.72426911447,1.8289037333209937,20.299170138758083,20.550274688116367
RAIN_GARDEN,38,31682.77228695522,1.8189109598169866,20.856106500629114,20.984372500665305
RAIN_GARDEN,39,31459.655543477587,1.8081500161458,21.41345443798088,21.451840527109745
RAIN_GARDEN,40,31236.569986402283,1.7966531988872423,21.970724471376457,21.95127576610656
RAIN_GARDEN,41,31013.454601436,1.7844100301828212,22.528069015152795,22.483133388129673
RAIN_GARDEN,42,30790.355631163446,1.771423782122088,23.08537255485409,23.047271249767554
RAIN_GARDEN,43,30567.5158043369,1.7577292995348235,23.642028751541766,23.64217565070661
RAIN_GARDEN,44,30344.250630116294,1.7432337194161798,24.199747470427656,24.271880668898792
RAIN_GARDEN,45,30121.060504699115,1.728003772810381,24.757278716624864,24.933487429440625
RAIN_GARDEN,46,29896.690256018337,1.7118479827017328,25.31775792296409,25.63531391868825
RAIN_GARDEN,47,29673.043308262153,1.6950582995771153,25.876430316098155,26.36467746474117
RAIN_GARDEN,48,29449.397699144487,1.6775226080864023,26.43509936529932,27.126448490032505
RAIN_GARDEN,49,29225.725251228403,1.6592361572194814,26.99383545809707,27.92083338401924
RAIN_GARDEN,50,29002.025188828997,1.6401981187303696,27.55264053216032,28.74786812667921
RAIN_GARDEN,51,28778.292838199566,1.620407933609589,28.111526262556772,29.607577002040443
RAIN_GARDEN,52,28554.526991527815,1.5998646218651835,28.670495666414062,30.500002582104003
RAIN_GARDEN,53,28330.736702281352,1.57856964472302,29.229526128076287,31.425081389502772
RAIN_GARDEN,54,28106.975707247228,1.556529283396843,29.788483412492507,32.382540560937514
RAIN_GARDEN,55,27883.242075407994,1.5337446007956927,30.34737234336433,33.372333922391675
RAIN_GARDEN,56,27659.42829263577,1.510198913599049,30.90646149209736,34.39518621689489
RAIN_GARDEN,57,27435.69070782148,1.4859181508095558,31.465360297541835,35.44997105813161
RAIN_GARDEN,58,27212.92718841131,1.4610581224340724,32.02182587751263,36.529919876482644
RAIN_GARDEN,59,26989.37814484862,1.4353130878365186,32.58025370495679,37.648314404119375
RAIN_GARDEN,60,26765.836001623044,1.4088190641334741,33.1386642952873,38.799245897813236
RAIN_GARDEN,61,26542.360411953796,1.3950244228308977,33.69690863414442,39.39850131093196
RAIN_GARDEN,62,26319.146650669336,1.4090071762342118,34.25449892298303,38.791074087313234
RAIN_GARDEN,63,26094.693152516335,1.4228628019955472,34.81518608736657,38.18916943771015
RAIN_GARDEN,64,25870.788004798975,1.4366391440508988,35.374503466679364,37.59070896537421
RAIN_GARDEN,65,25646.800323697324,1.4503457413195824,35.9340270152414,36.99527828845165
RAIN_GARDEN,66,25422.860261336602,1.4639794501001524,36.49343161169513,36.40301397302396
RAIN_GARDEN,67,25199.218060519506,1.4775333443557659,37.05209214692615,35.814216894262785
RAIN_GARDEN,68,24975.37474008282,1.4910194387004052,37.6112550810511,35.22836512323154
