Ratio,Total Runoff,Peak Runoff,Red_Total,Red_Peak
0,40031.85954859179,2.3019635702219814,0.0,0.0
1,39997.57552360541,2.274415331060858,0.08564184969914734,1.1967278508437373
2,39963.308513642405,2.247086932403636,0.17124119569358331,2.3839055721048386
3,39929.05937244374,2.2199785465451245,0.256795905329521,3.5615256790945238
4,39894.830174281575,2.193090855853113,0.3423007970536185,4.729558528954891
5,39860.62184883412,2.166423974228948,0.4277535485200712,5.887999173677761
6,39826.43610996742,2.139978168833986,0.5131498784737176,7.036836007460135
7,39792.2752008813,2.1340101305404082,0.5984841833781895,7.296094597421332
8,39758.141311612315,2.1374459501052936,0.6837509924994323,7.146838561864088
9,39724.017874285884,2.140859224789415,0.7689916925598728,6.998561902394962
10,39689.88956386655,2.1442501737141604,0.8542445656568809,6.85125510012361
11,39655.833323449624,2.1476190468805147,0.939317407141016,6.704907294713747
12,39621.77184147584,2.1509661584676003,1.024403342088498,6.559504837855457
13,39587.751648038706,2.1542919199632795,1.109386137843571,6.415029854032905
14,39553.7812470035,2.157596742199931,1.1942445516626266,6.2714644962052475
15,39519.85915352201,2.160881201650899,1.2789822927118832,6.128783721693642
16,39485.992470582314,2.1641459433514374,1.363581617653531,5.986959509409351
17,39452.18700350058,2.167391716352195,1.4480280247476163,5.845959319712835
18,39418.190617277876,2.170559512551493,1.5329513498343106,5.708346533816644
19,39384.439407580525,2.173749405133823,1.617262221419935,5.569773855100346
20,39349.19287683751,2.176921352477858,1.7053084204735613,5.431980738603315
21,39315.20540318069,2.180075898685329,1.7902094818783132,5.294943547907616
22,39281.56210125111,2.183230896253292,1.8742507987418056,5.157886749582219
23,39247.80282542883,2.186360128659887,1.9585818195910987,5.021949220115019
24,39212.55259393924,2.1891416399674277,2.046637263147999,4.901117103415942
25,39178.409444986246,2.192134220984108,2.131927203055861,4.7711158707556045
26,39144.28775587017,2.195106539111435,2.2171635360687114,4.6419948817974515
27,39110.185825514665,2.1980584464213777,2.302350511492901,4.513760562708812
28,39076.09388898022,2.20098806345102,2.387512522248525,4.3864945595652465
29,39041.97967679876,2.2038897883079214,2.47273017780123,4.260440225151029
30,39007.84287063702,2.2067624977947817,2.5580042733508113,4.135646352475475
31,38973.65862065745,2.2096047340798717,2.6433968840489763,4.012176271460433
32,38940.75552911611,2.212533438220603,2.725589147691898,3.884949925282899
33,38907.027264520795,2.2153660357546405,2.8098427021748584,3.7618985629294777
34,38873.29644873829,2.218172974145617,2.894102629549855,3.639961863874508
35,38839.57326677552,2.2209548867842153,2.978343487564039,3.5191123128831436
36,38805.86204484572,2.223712332917387,3.0625544692919338,3.399325615611226
37,38772.16959497614,2.226444800276472,3.146718558218864,3.2806240256107455
38,38738.49606860529,2.229151287168619,3.2308353760498787,3.16305105759519
39,38704.73458245987,2.231834424984335,3.3151719183092676,3.0464924008716476
40,38671.07793504558,2.234494530341501,3.39924657233186,2.93093430118766
41,38637.46213564516,2.2371310160402103,3.483219187592501,2.8164022671965716
42,38603.92015449675,2.2397471434847547,3.5670074040946464,2.702754619667036
43,38570.69976277513,2.2423425173170224,3.649992286876058,2.5900085334195633
44,38537.10339142588,2.24492066269003,3.733916370663548,2.478010871668601
45,38503.642071254486,2.247445448970662,3.8175030952092293,2.368331191534112
46,38469.03190316254,2.2499371357532434,3.903959653765887,2.2600893924538124
47,38435.202983280644,2.2524057144590235,3.988464646197809,2.1528514353586825
48,38401.41275366377,2.254850350357887,4.072872989946774,2.0466535819049114
49,38367.63352356696,2.25727028842554,4.157253856780607,1.941528631234224
50,38333.862454646856,2.2596647926420252,4.241614336910471,1.8375085569176552
51,38300.092901189564,2.2620332215563215,4.325971031398524,1.7346212243406378
52,38266.32437500584,2.2643751589022303,4.410325159746565,1.6328847165955063
53,38232.55883148719,2.2666905380919786,4.494671837366326,1.5323019263333237
54,38198.83768974987,2.268985377916961,4.578907598876214,1.4326113901898196
55,38165.17047044591,2.271262036039678,4.663008661588752,1.3337106885380812
56,38131.450593567046,2.273504252982349,4.747241263469104,1.2363061521815544
57,38097.82751223575,2.2757332089517104,4.831232069068525,1.1394776880739976
58,38065.174017731755,2.278088490490343,4.912800836725606,1.0371614929308492
59,38031.76817783914,2.280295470947141,4.9962489709599485,0.9412876708883355
60,37998.374829727574,2.2824739617135097,5.079665900595787,0.846651474445026
61,37965.05485463177,2.284627075693316,5.162899543677879,0.7531176754023816
62,37932.009825247085,2.2867837522202317,5.245446369524376,0.6594291151308718
63,37897.738828606794,2.2888040410482726,5.331055674279983,0.571665396617882
64,37864.003365206256,2.29087699650895,5.415327211452992,0.4816137777524543
65,37830.19698084073,2.2929020332385806,5.4997759099314925,0.3936438048203761
66,37796.43835952664,2.2949024419875865,5.584105295812536,0.30674370027993225
67,37762.98392315911,2.2969300476726877,5.667674824544822,0.21866212890624404
68,37729.32339138288,2.2988893665390573,5.7517591817437985,0.13354701710712735
69,37695.219245924716,2.300730613299636,5.836951690517389,0.05356109620042737
70,37662.03725664639,2.302716894475461,5.919840643597485,0.0
71,37628.702794395445,2.3046520306401144,6.003110475743267,0.0
72,37595.25342876289,2.3065384118434653,6.0866673377270475,0.0
73,37562.008987420064,2.30841186766739,6.16971229671146,0.0
74,37528.80909476132,2.310248272579779,6.2526459726213846,0.0
75,37495.06127886762,2.3120014893857967,6.336948366450301,0.0
76,37460.73623462579,2.3136839970571454,6.422692682674668,0.0
77,37427.30924613694,2.315522616525632,6.5061936463215675,0.0
78,37393.54580694712,2.317257460637828,6.590535067306103,0.0
79,37359.80243965258,2.318962612696512,6.674826348488239,0.0
80,37326.03520850679,2.320648636438376,6.759177241818081,0.0
81,37292.30414433749,2.3223098929843577,6.8434377896658845,0.0
82,37258.93246812008,2.323931783720856,6.926800582685533,0.0
83,37225.282981446966,2.325475966152494,7.010857349102462,0.0
84,37191.5910517689,2.3270465560909783,7.095020138585606,0.0
85,37157.88459332902,2.3286371985573506,7.179219221066302,0.0
86,37124.31181742013,2.3301906021951995,7.2630843631992565,0.0
87,37090.90712112546,2.3317171027397423,7.346529640714083,0.0
88,37057.42138816626,2.3332076388893044,7.430177348656697,0.0
89,37023.44278255531,2.3346117780929143,7.515056257590991,0.0
90,36989.64704280356,2.336072079901425,7.599478365713952,0.0
91,36955.87326846506,2.3375246042658038,7.683845604007011,0.0
92,36926.50774569216,2.338895704840432,7.757200984206769,0.0
93,36888.3237118903,2.3402523228303482,7.852585096342524,0.0
94,36854.54540948349,2.341533552553535,7.936963645797135,0.0
95,36820.54890258762,2.342813033855072,8.021887272326655,0.0
96,36786.98130179396,2.344150132354739,8.105739486968144,0.0
97,36753.428899446764,2.3454366582198243,8.189553735732847,0.0
98,36719.64358672246,2.3466456104487374,8.27394979703322,0.0
99,36685.98006886044,2.3478811877048065,8.35804161350544,0.0
100,36652.17344659849,2.349116897558872,8.442490906251654,0.0
