Ratio,Total Runoff,Peak Runoff,Red_Total,Red_Peak
0,40031.85954859179,2.3019635702219814,0.0,0.0
1,39826.65787354065,2.2658819466866373,0.5125959107696754,1.5674280862691736
2,39619.858197208014,2.229597481542774,1.0291836453005132,3.143667850148857
3,39412.803298546234,2.1935258227928025,1.5464089278543924,4.710663054442776
4,39205.62751769187,2.1577072050094266,2.063936175378056,6.266665862077215
5,38998.38003608539,2.122157325426592,2.581642532123518,7.810994366780988
6,38791.0878733471,2.086884274811548,3.0994605027992894,9.343297096126191
7,38583.76643125921,2.0518923620651806,3.6173516135937778,10.863386866399715
8,38376.42768535803,2.0171853246167464,4.135285949493184,12.37110131928688
9,38169.06586215843,1.982765691922734,4.653277932723188,13.866330572228236
10,37961.732896574475,1.948634953590068,5.171197829330254,15.349009914950196
11,37754.51454444807,1.9147941775665125,5.68883142033263,16.819092954548086
12,37547.27685757204,1.8812444004555102,6.206513309739947,18.2765346597514
13,37340.06538178487,1.8479864033572935,6.724129723575656,19.721301098649025
14,37132.89409534995,1.8201709276052158,7.241645743992975,20.929638020740082
15,36925.75931035617,1.8331827391128888,7.7590705834320595,20.364389652955605
16,36718.66767640627,1.8444020773386107,8.276387631116345,19.877008428906084
17,36511.627398651806,1.8531756075199513,8.793576390492252,19.49587597768774
18,36304.38225292408,1.8584938925965213,9.311276912188394,19.26484343028485
19,36097.37482129384,1.8625977039387942,9.828383621605596,19.08656904769429
20,35888.86130120271,1.8656320545262906,10.349252555605592,18.954753295840167
21,35681.59720310931,1.8682088930895462,10.867000420507589,18.842812403439023
22,35474.6650755084,1.8700776643383297,11.383919019679167,18.76163078645091
23,35267.60930353554,1.8712088305221382,11.901146483773184,18.712491599435044
24,35059.05305516905,1.8714981943631008,12.422122153447823,18.699921294469934
25,34851.59421753395,1.8711283626408817,12.940356479743064,18.715987218666264
26,34644.147697942426,1.8700197181004177,13.458560035437795,18.764148039054795
27,34436.70931058628,1.8681717348202997,13.97674327672428,18.844426602278965
28,34229.27388963863,1.8655845133593445,14.4949191078916,18.95681853994572
29,34021.806702220645,1.863346554998459,15.013174292031017,19.054038078509905
30,33814.30799427557,1.8603937809789146,15.531508214773737,19.182310048481156
31,33606.75282344466,1.8565819229639247,16.049983182390413,19.347901635780794
32,33400.467348346596,1.852021049040392,16.565286436908643,19.54603135349361
33,33193.34983475649,1.8464826389471052,17.08266813220237,19.786626390049843
34,32986.2213198345,1.8400022682624348,17.600077308937145,20.068141300559283
35,32777.93300129164,1.8324865182967003,18.12038368713582,20.394634302575376
36,32567.33694714136,1.8240773380974218,18.646454812796755,20.759938962825398
37,32356.657777439945,1.8149269297695376,19.17273356196574,21.157443443185254
38,32145.929013116955,1.8050322067543116,19.699136199013367,21.587281827390083
39,31935.03166542501,1.7943756759619947,20.225959959063665,22.050214035795513
40,31724.161335724788,1.782989633972393,20.752716227890655,22.5448370670585
41,31513.256692734703,1.7708636029270157,21.2795582116713,23.071606091652917
42,31302.363869145913,1.757998741835625,21.806370670465036,23.630470760834022
43,31091.725029139565,1.7444320008908831,22.33254867563781,24.219825914852976
44,30880.655666015224,1.7300684040081533,22.859802132020825,24.843797426328496
45,30669.655927274234,1.714976803028355,23.3868816659727,25.499394290458845
46,30457.470662582873,1.698961479342404,23.916922656034146,26.195118753396653
47,30246.003118713325,1.6823186327474804,24.445170772045,26.918103548213313
48,30034.53097790731,1.664934011662942,24.97343037125078,27.673311897703478
49,29823.026122007213,1.6468028727955883,25.501771693100615,28.46094985609242
50,29611.487675988657,1.6279243878994356,26.03019692341445,29.281053403358037
51,29399.91087194697,1.6082979979650052,26.558717972467562,30.13364682352836
52,29188.294577349043,1.5879227307172508,27.087337669339405,31.018772353372846
53,28976.64743216495,1.5668000319482205,27.61603443129519,31.936367185987578
54,28765.02360289792,1.5449340697918734,28.144672949848538,32.886250252739956
55,28553.420791023735,1.522328027953944,28.673258966736746,33.868283249715205
56,28341.731570079908,1.4989652308308192,29.202060834376375,34.883190584711464
57,28130.111887401163,1.4748715919913318,29.730688994709208,35.929846541876074
58,27919.46062354513,1.4501986875658524,30.25689803478725,37.00166647615506
59,27708.016820148398,1.4246471393083902,30.785086846850984,38.111655730024886
60,27496.57378122306,1.3983487227421325,31.313273749257263,39.254089820053586
61,27285.191337750235,1.4031060252667156,31.84130928359522,39.04742701330359
62,27074.063879186706,1.417180111082537,32.36870786298736,38.436032202461114
63,26861.689928399188,1.4311265979682246,32.899220192872335,37.830180438945035
64,26649.85876984482,1.4449938011479289,33.42837662213398,37.22777285269609
65,26437.938301284004,1.45879078825281,33.95775614871725,36.628415535171264
66,26226.059452856844,1.4725146519114487,34.48703170777535,36.03223478599828
67,26014.47144218662,1.486158229071028,35.01558075110269,35.439541776600926
68,25802.676120864737,1.4997337706755562,35.544647658586214,34.84980431158887
69,25590.437141448627,1.5132477290517565,36.07482282858672,34.262742094314206
70,25379.121421460357,1.5266682204625646,36.602691686968804,33.67974019174657
71,25167.653005095744,1.5400046738841138,37.13094198248137,33.10038899809309
72,24956.06291018314,1.5532751532250133,37.65949623226776,32.523903795956734
73,24744.69476006392,1.5664777008273492,38.18749606166028,31.950369628295572
74,24533.363557932054,1.579625528588032,38.71540359459752,31.379212554797007
75,24321.49107977188,1.5927237178308682,39.24466324066267,30.810211836789414
76,24109.05962265816,1.6056576215621334,39.77531922194644,30.24834787427597
77,23897.936532056974,1.6185049919436545,40.302706890123375,29.690243022065722
78,23686.661672991548,1.6312956757983446,40.83047367749676,29.13460069913111
79,23475.34028081247,1.6440209707060744,41.35835670507026,28.58179894881919
80,23263.944613116575,1.6566637677860547,41.88642527365448,28.032581000997315
81,23052.514691118085,1.6692373725990373,42.41457940984156,27.486368846485675
82,22841.393514623367,1.6817403315755743,42.94196229656071,26.943225630047575
83,22629.95760778525,1.6942044671916652,43.47013138293919,26.401768945965955
84,22418.42266364504,1.7065476802497388,43.99854786552463,25.86556527976791
85,22206.843931323976,1.7187735386466343,44.527073731439614,25.334459637826036
86,21995.358238759312,1.7537655336504878,45.05536718307894,23.814366294190748
87,21784.0078713125,1.7895224897098867,45.5833225911715,22.261042144236853
88,21572.544610763667,1.8177444068218158,46.11156000740283,21.03504893231094
89,21360.558609865715,1.8378887070654137,46.641103234443385,20.159956880282703
90,21148.737722157057,1.849088826948975,47.17023400702601,19.673410523579015
91,20936.903012346254,1.8503772674161607,47.69939930736303,19.617439157052928
92,20729.465124887367,1.840275369601036,48.21758129990099,20.056277457788962
93,20513.187140337137,1.8152566382527169,48.75784594658248,21.14312051959757
94,20301.30847912267,1.7765392923361394,49.28712103798133,22.825047480450557
95,20089.177873953897,1.7366321380291163,49.81702548798891,24.55866111462178
96,19877.475174678722,1.695634365860369,50.345861024639916,26.339652469093732
97,19665.785956276533,1.653509049686021,50.87466288593051,28.16962565890776
98,19453.837531210564,1.6102116495714072,51.404112248153375,30.050515551115677
99,19242.00991162074,1.5658019467436128,51.93325983704492,31.97972517902964
100,19030.025048526277,1.5201559372714215,52.46280022184055,33.96264141900252
